,Date,Value,location,parameter,longitude,latitude,Data_Converted
87,2024-08-18T22:00:00+00:00,1.2479166748623054,1552754,pm25,-122.432269,45.592266,2024-08-18 22:00:00+00:00
88,2024-08-18T21:00:00+00:00,1.0999999890724819,1552754,pm25,-122.432269,45.592266,2024-08-18 21:00:00+00:00
89,2024-08-18T20:00:00+00:00,3.7083333830038705,1552754,pm25,-122.432269,45.592266,2024-08-18 20:00:00+00:00
90,2024-08-18T19:00:00+00:00,4.847916702429454,1552754,pm25,-122.432269,45.592266,2024-08-18 19:00:00+00:00
91,2024-08-18T18:00:00+00:00,5.464583357175191,1552754,pm25,-122.432269,45.592266,2024-08-18 18:00:00+00:00
92,2024-08-18T17:00:00+00:00,9.558333357175192,1552754,pm25,-122.432269,45.592266,2024-08-18 17:00:00+00:00
93,2024-08-18T16:00:00+00:00,12.947916666666666,1552754,pm25,-122.432269,45.592266,2024-08-18 16:00:00+00:00
94,2024-08-18T15:00:00+00:00,11.56458338101705,1552754,pm25,-122.432269,45.592266,2024-08-18 15:00:00+00:00
95,2024-08-18T14:00:00+00:00,9.664583206176758,1552754,pm25,-122.432269,45.592266,2024-08-18 14:00:00+00:00
96,2024-08-18T13:00:00+00:00,5.912500023841858,1552754,pm25,-122.432269,45.592266,2024-08-18 13:00:00+00:00
97,2024-08-18T12:00:00+00:00,6.78124996026357,1552754,pm25,-122.432269,45.592266,2024-08-18 12:00:00+00:00
98,2024-08-18T11:00:00+00:00,8.306249936421713,1552754,pm25,-122.432269,45.592266,2024-08-18 11:00:00+00:00
99,2024-08-18T10:00:00+00:00,8.960416595141092,1552754,pm25,-122.432269,45.592266,2024-08-18 10:00:00+00:00
100,2024-08-18T09:00:00+00:00,12.483333349227905,1552754,pm25,-122.432269,45.592266,2024-08-18 09:00:00+00:00
101,2024-08-18T08:00:00+00:00,13.822916666666666,1552754,pm25,-122.432269,45.592266,2024-08-18 08:00:00+00:00
102,2024-08-18T07:00:00+00:00,12.641666730244955,1552754,pm25,-122.432269,45.592266,2024-08-18 07:00:00+00:00
103,2024-08-18T06:00:00+00:00,9.852083444595337,1552754,pm25,-122.432269,45.592266,2024-08-18 06:00:00+00:00
104,2024-08-18T05:00:00+00:00,7.9062498807907104,1552754,pm25,-122.432269,45.592266,2024-08-18 05:00:00+00:00
105,2024-08-18T04:00:00+00:00,8.49999992052714,1552754,pm25,-122.432269,45.592266,2024-08-18 04:00:00+00:00
